Hours of work/day,Hours of sleep,Cups of coffee/day,Age,Screen time,Anxiety score,Stress level
8,6.5,2,31,6,45,1
6,9,0,46,2.5,13,0
9.5,6,3,44,8,67,2
7,7,2,22,6.5,40,1
11,4.5,4,29,10,86,2
5.5,8,1,57,4,20,0
8.5,6.5,3,38,7,53,1
10,5.5,4,32,9,77,2
6.5,7.5,1,25,4.5,27,0
7.5,7,2,41,6,42,1
12,4,5,36,11,92,2
8,7,1,30,5.5,38,1
5,8.5,0,49,3,15,0
9.5,5.5,3,45,8.5,71,2
7,7.5,2,26,5,34,1
10.5,5,4,28,9.5,79,2
4.5,8,1,63,2,10,0
8,6.5,3,34,7,50,1
9,6,4,39,8,64,2
6,8,0,31,4.5,25,0
8.5,6,2,47,7.5,56,1
11,4.5,5,33,10.5,88,2
5,9,1,51,3,12,0
7.5,7,2,24,6,36,1
10,5,3,42,9,73,2
8,7.5,2,37,6,43,1
6.5,8,1,29,4,22,0
11.5,5,4,35,10,83,2
7,6.5,2,28,6.5,48,1
9.5,5.5,3,40,8.5,68,2
5.5,8.5,0,43,3.5,18,0
8.5,7,3,32,7,52,1
10,6,4,27,8,65,2
6,7.5,1,36,5,31,0
8,6.5,2,45,6.5,46,1
12,4.5,5,31,11,91,2
4,8,0,56,3,14,0
7.5,7,2,23,6,39,1
9,5.5,3,48,8.5,70,2
6.5,8.5,1,27,4,19,0
8.5,6,3,39,7.5,57,1
10.5,5,4,34,9.5,78,2
5,8,0,50,3.5,23,0
7.5,7.5,2,31,5.5,35,1
9.5,5.5,4,29,8.5,72,2
8,6.5,2,36,6,44,1
6,9,1,42,3,16,0
11,4,5,46,10.5,87,2
7,7,2,25,6.5,41,1
10,5.5,3,33,9,75,2
5.5,8,1,55,4,21,0
8.5,6.5,2,40,7,49,1
9,6,3,28,8,63,2
6.5,7.5,0,24,4.5,26,0
7.5,7,2,44,6,38,1
12,4.5,4,37,11,89,2
8,7,1,32,5.5,40,1
5,8.5,0,47,3,13,0
10,5,4,35,9,76,2
7,7.5,2,29,5,33,1
11,5,5,41,10,82,2
4.5,8,1,62,2.5,11,0
8,6.5,3,30,7,53,1
9.5,5.5,3,43,8.5,69,2
6,8,0,34,4.5,24,0
8.5,6,2,45,7.5,55,1
10.5,4.5,4,26,10,81,2
5,9,1,49,3,15,0
7.5,7,2,27,6,37,1
9,5,3,38,9,74,2
8,7.5,2,36,6,42,1
6.5,8,1,31,4,20,0
11.5,4,5,40,11,93,2
7,6.5,2,23,6.5,47,1
10,5.5,3,47,8.5,71,2
5.5,8.5,0,41,3.5,17,0
8.5,7,3,35,7,51,1
9.5,6,4,28,8,66,2
6,7.5,1,39,5,30,0
8,6.5,2,48,6.5,45,1
12,4.5,5,33,11,90,2
4,8,0,58,3,12,0
7.5,7,2,26,6,38,1
9,5.5,4,45,8.5,73,2
6.5,8.5,1,29,4,18,0
8.5,6,3,42,7.5,58,1
10.5,5,4,31,9.5,79,2
5,8,0,52,3.5,22,0
7.5,7.5,2,34,5.5,36,1
9.5,5.5,4,36,8.5,74,2
8,6.5,2,24,6,43,1
6,9,1,44,3,15,0
11,4,5,48,10.5,86,2
7,7,2,27,6.5,40,1
10,5.5,3,30,9,76,2
5.5,8,1,53,4,23,0
8.5,6.5,2,37,7,48,1
9,6,3,32,8,64,2
6.5,7.5,0,22,4.5,25,0
7.5,7,2,46,6,39,1
12,4.5,4,39,11,88,2
8,7,1,35,5.5,41,1
5,8.5,0,45,3,14,0
10,5,4,38,9,77,2
7,7.5,2,31,5,32,1
11,5,5,43,10,83,2
4.5,8,1,60,2.5,10,0
8,6.5,3,28,7,52,1
9.5,5.5,3,41,8.5,68,2
6,8,0,36,4.5,23,0
8.5,6,2,47,7.5,54,1
10.5,4.5,4,29,10,82,2
5,9,1,48,3,16,0
7.5,7,2,25,6,36,1
9,5,3,40,9,75,2
8,7.5,2,34,6,41,1
6.5,8,1,33,4,21,0
11.5,4,5,42,11,92,2
7,6.5,2,24,6.5,46,1
10,5.5,3,49,8.5,72,2
5.5,8.5,0,43,3.5,19,0
8.5,7,3,33,7,50,1
9.5,6,4,30,8,67,2
6,7.5,1,37,5,29,0
8,6.5,2,50,6.5,44,1
12,4.5,5,35,11,91,2
4,8,0,57,3,13,0
7.5,7,2,28,6,37,1
9,5.5,4,44,8.5,71,2
6.5,8.5,1,31,4,17,0
8.5,6,3,41,7.5,59,1
10.5,5,4,33,9.5,80,2
5,8,0,51,3.5,21,0
7.5,7.5,2,32,5.5,34,1
9.5,5.5,4,38,8.5,73,2
8,6.5,2,26,6,42,1
6,9,1,45,3,14,0
11,4,5,47,10.5,85,2
7,7,2,29,6.5,39,1
10,5.5,3,31,9,77,2
5.5,8,1,54,4,22,0
8.5,6.5,2,36,7,47,1
9,6,3,34,8,65,2
6.5,7.5,0,23,4.5,24,0
7.5,7,2,45,6,40,1
12,4.5,4,38,11,87,2
8,7,1,36,5.5,42,1
5,8.5,0,44,3,15,0
10,5,4,39,9,75,2
7,7.5,2,32,5,31,1
11,5,5,42,10,84,2
4.5,8,1,61,2.5,12,0
8,6.5,3,29,7,51,1
9.5,5.5,3,42,8.5,67,2
6,8,0,35,4.5,22,0
8.5,6,2,46,7.5,53,1
10.5,4.5,4,28,10,83,2
5,9,1,47,3,17,0
7.5,7,2,26,6,35,1
9,5,3,41,9,76,2
8,7.5,2,33,6,40,1
6.5,8,1,32,4,22,0
11.5,4,5,43,11,91,2
7,6.5,2,25,6.5,45,1
10,5.5,3,48,8.5,73,2
5.5,8.5,0,42,3.5,18,0
8.5,7,3,34,7,49,1
9.5,6,4,31,8,68,2
6,7.5,1,38,5,28,0
8,6.5,2,49,6.5,46,1
12,4.5,5,34,11,89,2
4,8,0,56,3,11,0
7.5,7,2,27,6,39,1
9,5.5,4,46,8.5,72,2
6.5,8.5,1,30,4,16,0
8.5,6,3,40,7.5,57,1
10.5,5,4,32,9.5,81,2
5,8,0,50,3.5,20,0
7.5,7.5,2,33,5.5,35,1
9.5,5.5,4,37,8.5,75,2
8,6.5,2,25,6,41,1
6,9,1,46,3,13,0
11,4,5,48,10.5,86,2
7,7,2,28,6.5,38,1
10,5.5,3,32,9,78,2
5.5,8,1,55,4,24,0
8.5,6.5,2,38,7,47,1
9,6,3,33,8,66,2
6.5,7.5,0,24,4.5,23,0
7.5,7,2,47,6,41,1
12,4.5,4,40,11,87,2
8,7,1,34,5.5,43,1
5,8.5,0,43,3,16,0
10,5,4,37,9,74,2
7,7.5,2,30,5,33,1
11,5,5,44,10,85,2
4.5,8,1,59,2.5,11,0
8,6.5,3,27,7,50,1
9.5,5.5,3,40,8.5,69,2
6,8,0,37,4.5,21,0
8.5,6,2,48,7.5,56,1
10.5,4.5,4,30,10,84,2
5,9,1,46,3,15,0
7.5,7,2,24,6,37,1
9,5,3,39,9,77,2
8,7.5,2,35,6,42,1
6.5,8,1,34,4,20,0
11.5,4,5,41,11,93,2
7,6.5,2,23,6.5,44,1
10,5.5,3,50,8.5,71,2
5.5,8.5,0,44,3.5,17,0
8.5,7,3,32,7,52,1
9.5,6,4,29,8,65,2
6,7.5,1,36,5,30,0
8,6.5,2,51,6.5,45,1
12,4.5,5,34,11,90,2
4,8,0,55,3,14,0
7.5,7,2,29,6,36,1
9,5.5,4,43,8.5,70,2
6.5,8.5,1,32,4,19,0
8.5,6,3,42,7.5,58,1
10.5,5,4,34,9.5,79,2
5,8,0,52,3.5,22,0
7.5,7.5,2,31,5.5,33,1
9.5,5.5,4,39,8.5,72,2
8,6.5,2,27,6,44,1
6,9,1,44,3,15,0
11,4,5,46,10.5,88,2
7,7,2,30,6.5,41,1
10,5.5,3,35,9,74,2
5.5,8,1,53,4,20,0
8.5,6.5,2,39,7,49,1
9,6,3,31,8,63,2
6.5,7.5,0,25,4.5,26,0
7.5,7,2,43,6,37,1
12,4.5,4,36,11,89,2
8,7,1,33,5.5,39,1
5,8.5,0,48,3,12,0
10,5,4,36,9,76,2
